species_name,EN_name,EN_name_fishbase,shape,max_size,size_type
Albula vulpes,Bonefish,Bonefish,fusiform / normal,104,TL
Elops machnata,Tenpounder,Tenpounder,elongated,118,FL
Gymnomuraena zebra,Zebra moray,Zebra moray,eel-like,150,TL
Echidna polyzona,Barred moray,Barred moray,eel-like,72.30000305,TL
Gymnothorax flavimarginatus,Yellow–edged moray,Yellow-edged moray,eel-like,240,TL
Gymnothorax griseus,Geometric moray,Geometric moray,eel-like,65,TL
Gymnothorax javanicus,Turkey moray,Giant moray,eel-like,300,TL
Gymnothorax monochrous,Drab moray,Drab moray,eel-like,80,TL
Gymnothorax nudivomer,Yellowmouth moray,Yellowmouth moray,eel-like,180,TL
Gymnothorax rueppellii,Banded moray,NA,NA,NA,NA
Pseudechidna brummeri,White ribbon eel,White ribbon eel,eel-like,103,TL
Gymnothorax pictus,Peppered moray,Paintspotted moray,eel-like,140,TL
Strophidon sathete,Slender giant moray,Slender giant moray,eel-like,400,TL
Uropterygius marmoratus,Marbled reef–eel,Marbled reef-eel,eel-like,62,SL
Lamnostoma orientalis,Oriental worm–eel,NA,NA,NA,NA
Pisodonophis boro,Rice–paddy eel,Rice-paddy eel,eel-like,100,TL
Uroconger lepturus,Slender conger,Slender conger,eel-like,52,TL
Muraenesox bagio,Common pike conger,Common pike conger,eel-like,200,TL
Muraenesox cinereus,Daggertooth pike conger,Daggertooth pike conger,fusiform / normal,220,TL
Amblygaster leiogaster,Smoothbelly sardinella,Smoothbelly sardinella,elongated,23,SL
Etrumeus teres,Red–eye round herring,NA,NA,NA,NA
Herklotsichthys spilurus,Reunion herring,NA,NA,NA,NA
Hilsa kelee,Kelee shad,Kelee shad,fusiform / normal,35,TL
Sardinella albella,White sardinella,White sardinella,fusiform / normal,15,TL
Sardinella melanura,Blacktip sardinella,Blacktip sardinella,fusiform / normal,20.29999924,SL
Spratelloides delicatulus,Delicate round herring,Delicate round herring,fusiform / normal,7,SL
Encrasicholina heteroloba,Shorthead anchovy,Shorthead anchovy,elongated,12,SL
Encrasicholina devisi,Devis’ anchovy,Devis' anchovy,elongated,9.699999809,TL
Stolephorus indicus,Commerson’s anchovy,Indian anchovy,elongated,15.5,SL
Thryssa baelama,Baelama anchovy,NA,NA,NA,NA
Thryssa setirostris,Longjaw thryssa,Longjaw thryssa,fusiform / normal,18,SL
Chirocentrus dorab,Dorab wolf–herring,Dorab wolf-herring,elongated,100,SL
Chanos chanos,Milkfish,Milkfish,elongated,180,SL
Plicofollis polystaphylodon,Blacktip sea catfish,Mozambique sea catfish,fusiform / normal,35,SL
Plotosus lineatus,Striped eel catfish,Striped eel catfish,fusiform / normal,35.20000076,TL
Saurida gracilis,Gracile lizardfish,Gracile lizardfish,elongated,32,SL
Saurida tumbil,Greater lizardfish,Greater lizardfish,elongated,60,FL
Synodus indicus,Two–spot lizardfish,Indian lizardfish,elongated,33,TL
Malacocephalus laevis,Softhead grenadier,Softhead grenadier,elongated,60,TL
Trachinocephalus myops,Snakefish,Snakefish,elongated,32.59999847,TL
Lophiodes mutilus,Goatsbeard brotula,Smooth angler,short and / or deep,45,TL
Ventrifossa petersonii,Peterson’s grenadier,Peterson's grenadier,elongated,42,TL
Lophiomus setigerus,Blackmouth angler,Blackmouth angler,short and / or deep,40,TL
Atherinomorus lacunosus,Hardyhead silverside,Wide-banded hardyhead silverside,elongated,25,TL
Atherinomorus duodecimalis,Tropical silverside,NA,NA,NA,NA
Hypoatherina temminckii,Samoan silverside,Samoan silverside,elongated,12,TL
Ablennes hians,Flat needlefish,Flat needlefish,elongated,140,TL
Tylosurus crocodilus crocodilus,Banded needlefish,NA,NA,NA,NA
Platybelone platyura,Keeltail needlefish,Keeled needlefish,eel-like,45,TL
Euleptorhamphus viridis,Ribbon halfbeak,Ribbon halfbeak,eel-like,53,TL
Cheilopogon atrisignis,Glider flyingfish,Glider flyingfish,elongated,33,SL
Hyporhamphus dussumieri,Dussumier’s halfbeak,Dussumier's halfbeak,elongated,38,SL
Cheilopogon cyanopterus,Margined flyingfish,Margined flyingfish,elongated,40,TL
Cheilopogon furcatus,Spotfin flyingfish,Spotfin flyingfish,elongated,35,TL
Cypselurus naresii,Pharao flyingfish,Pharao flyingfish,fusiform / normal,21,SL
Cypselurus oligolepis,Largescale flyingfish,Largescale flyingfish,elongated,27.70000076,TL
Parexocoetus brachypterus,Sailfin flyingfish,Sailfin flyingfish,elongated,20,TL
Parexocoetus mento,African sailfin flyingfish,African sailfin flyingfish,elongated,11,SL
Prognichthys brevipinnis,Shortfin flyingfish,Shortfin flyingfish,elongated,19,SL
Myripristis murdjan,Pinecone soldierfish,Pinecone soldierfish,fusiform / normal,60,TL
Neoniphon opercularis,Blackfin squirrelfish,Blackfin squirrelfish,fusiform / normal,35,TL
Sargocentron caudimaculatum,Silverspot squirrelfish,Silverspot squirrelfish,fusiform / normal,25,TL
Neoniphon sammara,Sammara squirrelfish,Sammara squirrelfish,fusiform / normal,32,TL
Ostichthys archiepiscopus,Longsnout soldier,Straighthead soldierfish,short and / or deep,32,TL
Sargocentron diadema,Crown squirrelfish,Crown squirrelfish,fusiform / normal,17,TL
Sargocentron ittodai,Samurai squirrelfish,Samurai squirrelfish,fusiform / normal,20,TL
Sargocentron punctatissimum,Blackblotch squirrelfish,Speckled squirrelfish,fusiform / normal,23,TL
Sargocentron praslin,Dark–striped squirrelfish,Dark-striped squirrelfish,fusiform / normal,32,TL
Sargocentron spiniferum,Sabre squirrelfish,Sabre squirrelfish,fusiform / normal,51,FL
Sargocentron violaceum,Violet soldierfish,Violet squirrelfish,fusiform / normal,45,TL
Cyttopsis rosea,Rosy dory,Rosy dory,short and / or deep,31,TL
Aulostomus chinensis,Chinese trumpetfish,Chinese trumpetfish,elongated,80,TL
Dendrochirus brachypterus,Shortfin turkeyfish,Dwarf lionfish,fusiform / normal,17,TL
Dendrochirus zebra,Zebra turkeyfish,Zebra turkeyfish,fusiform / normal,25,SL
Pterois antennata,Broadbarred firefish,Broadbarred firefish,fusiform / normal,20,TL
Pterois miles,Devil firefish,Devil firefish,fusiform / normal,43,TL
Pterois mombasae,Frillfin turkeyfish,Frillfin turkeyfish,fusiform / normal,20,SL
Pterois volitans,Red lionfish,Red lionfish,fusiform / normal,45.70000076,TL
Scorpaenopsis diabolus,False stonefish,False stonefish,fusiform / normal,30,TL
Scorpaenopsis gibbosa,Humpbacked scorpionfish,Humpbacked scorpionfish,fusiform / normal,21,SL
Apistus carinatus,Ocellated waspfish,Ocellated waspfish,fusiform / normal,20,TL
Dactyloptena orientalis,Oriental flying gurnard,Oriental flying gurnard,elongated,40,TL
Cociella crocodilus,Crocodile flathead,Crocodile flathead,elongated,50,TL
Sorsogona prionota,Halfspined flathead,Halfspined flathead,elongated,22,TL
Platycephalus indicus,Bartail flathead,Bartail flathead,elongated,100,TL
Rogadius pristiger,Thorny flathead,Thorny flathead,elongated,50,TL
Synagrops japonicus,Blackmouth splitfin,Blackmouth splitfin,fusiform / normal,35,SL
Aethaloperca rogaa,Redmouth grouper,Redmouth grouper,short and / or deep,60,TL
Anyperodon leucogrammicus,Slender grouper,Slender grouper,fusiform / normal,65,TL
Cephalopholis aurantia,Peackock hind,Golden hind,fusiform / normal,60,TL
Cephalopholis boenak,Chocolate hind,Chocolate hind,fusiform / normal,30,TL
Cephalopholis leopardus,Leopard hind,Leopard hind,fusiform / normal,24,TL
Cephalopholis sonnerati,Tomato hind,Tomato hind,fusiform / normal,57,TL
Cephalopholis miniata,Coral hind,Coral hind,fusiform / normal,50,TL
Cephalopholis nigripinnis,Darkfin hind,Blackfin grouper,fusiform / normal,28,TL
Epinephelus chabaudi,Moustache grouper,NA,NA,NA,NA
Dermatolepis striolata,Smooth grouper,Smooth grouper,fusiform / normal,85,TL
Cephalopholis spiloparaea,Strawberry hind,Strawberry hind,fusiform / normal,30,TL
Epinephelus epistictus,Dotted grouper,Dotted grouper,fusiform / normal,80,TL
Epinephelus coeruleopunctatus,Whitespotted grouper,Whitespotted grouper,fusiform / normal,76,TL
